my_id;Lon;Lat
47087;518000;509000
47086;518000;508000
47085;518000;508000
47084;518000;508000
47083;518000;508000
47082;518000;508000
47081;518000;508000
47080;518000;508000
47079;518000;508000
47078;518000;508000
47077;518000;508000
47076;518000;508000
47075;518000;508000
47074;518000;508000
47073;518000;508000
47072;518000;508000
47071;518000;508000
47070;518000;508000
47069;519000;508000
47068;519000;508000
47067;519000;508000
47066;519000;508000
47065;519000;508000
47064;519000;508000
47063;519000;508000
47062;519000;508000
47061;519000;508000
47060;519000;508000
47059;519000;508000
47058;519000;508000
47057;519000;508000
47056;519000;508000
47055;519000;508000
47054;519000;508000
47053;519000;508000
47052;519000;507000
47051;519000;507000
47050;519000;507000
47049;520000;507000
47048;520000;507000
47047;520000;507000
47046;520000;507000
47045;520000;507000
47044;520000;507000
47043;520000;507000
47042;520000;507000
47041;520000;507000
47040;520000;507000
47039;520000;507000
47038;520000;507000
47037;520000;507000
47036;520000;507000
47035;520000;507000
47034;520000;507000
47033;520000;507000
47032;520000;507000
47031;520000;506000
47030;520000;506000
47029;520000;506000
47028;520000;506000
47027;520000;506000
47026;520000;506000
47025;520000;506000
47024;520000;506000
47023;520000;506000
47022;520000;506000
47021;520000;506000
47020;520000;506000
47019;520000;506000
47018;520000;506000
47017;520000;506000
47016;520000;506000
47015;520000;506000
47014;520000;506000
47013;520000;506000
47012;520000;506000
47011;520000;506000
47010;520000;506000
47009;520000;506000
47008;520000;506000
47007;520000;506000
47006;520000;506000
47005;520000;506000
47004;520000;506000
47003;520000;506000
47002;520000;506000
47001;520000;506000
47000;520000;506000
46999;520000;506000
46998;520000;505000
46997;520000;505000
46996;520000;505000
46995;520000;505000
46994;520000;505000
46993;520000;505000
46992;520000;505000
46991;520000;505000
46990;520000;505000
46989;520000;505000
46988;520000;505000
46987;520000;505000
46986;520000;505000
46985;520000;505000
46984;520000;505000
46983;520000;505000
46982;520000;505000
46981;519000;505000
46980;519000;505000
46979;519000;505000
46978;519000;504000
46977;519000;504000
46976;519000;504000
46975;519000;504000
46974;519000;504000
46973;519000;504000
46972;519000;504000
46971;519000;504000
46970;519000;504000
46969;519000;504000
46968;519000;504000
46967;519000;504000
46966;519000;504000
46965;519000;504000
46964;519000;504000
46963;519000;504000
46962;519000;504000
46961;519000;504000
46960;519000;504000
46959;519000;504000
46958;519000;504000
46957;519000;504000
46956;519000;504000
46955;519000;504000
46954;519000;504000
46953;520000;504000
46952;520000;504000
46951;520000;504000
46950;520000;504000
46949;520000;504000
46948;520000;504000
46947;520000;504000
46946;520000;504000
46945;520000;504000
46944;520000;504000
46943;520000;503000
46942;520000;503000
46941;520000;503000
46940;520000;503000
46939;520000;503000
46938;520000;503000
46937;520000;503000
46936;520000;503000
46935;520000;503000
46934;520000;503000
46933;520000;503000
46932;520000;503000
46931;520000;503000
46930;520000;503000
46929;520000;503000
46928;520000;503000
46927;520000;503000
46926;520000;503000
46925;520000;503000
46924;520000;503000
46923;520000;503000
46922;520000;503000
46921;520000;503000
46920;520000;503000
46919;520000;503000
46918;520000;503000
46917;520000;503000
46916;520000;503000
46915;520000;503000
46914;520000;503000
46913;520000;503000
46912;520000;503000
46911;521000;503000
46910;521000;503000
46909;521000;503000
46908;521000;503000
46907;521000;503000
46906;521000;503000
46905;520000;502000
46904;521000;502000
46903;521000;502000
46902;521000;502000
46901;521000;502000
46900;521000;502000
46899;521000;502000
46898;521000;502000
46897;521000;502000
46896;521000;502000
46895;521000;502000
46894;521000;502000
46893;521000;502000
46892;521000;502000
46891;521000;502000
46890;521000;502000
46889;521000;502000
46888;521000;502000
46887;521000;502000
46886;521000;502000
46885;521000;502000
46884;521000;502000
46883;521000;502000
46882;521000;502000
46881;521000;502000
46880;521000;502000
46879;521000;502000
46878;521000;502000
46877;521000;502000
46876;521000;502000
46875;521000;502000
46874;521000;502000
46873;521000;502000
46872;521000;502000
46871;521000;502000
46870;521000;502000
46869;521000;502000
46868;521000;502000
46867;521000;502000
46866;521000;502000
46865;521000;502000
46864;521000;502000
46863;521000;502000
46862;521000;502000
46861;521000;502000
46860;521000;502000
46859;521000;502000
46858;521000;502000
46857;521000;502000
46856;521000;502000
46855;520000;502000
46854;520000;502000
46853;520000;502000
46852;520000;502000
46851;520000;502000
46850;520000;502000
46849;520000;502000
46848;520000;502000
46847;520000;502000
46846;520000;502000
46845;520000;502000
46844;520000;501000
46843;520000;501000
46842;520000;501000
46841;520000;501000
46840;520000;501000
46839;520000;501000
46838;520000;501000
46837;520000;501000
46836;520000;501000
46835;520000;501000
46834;520000;501000
46833;520000;501000
46832;520000;501000
46831;520000;501000
46830;520000;501000
46829;520000;501000
46828;520000;501000
46827;520000;501000
46826;520000;501000
46825;520000;501000
46824;520000;501000
46823;520000;501000
46822;520000;501000
46821;520000;501000
46820;520000;501000
46819;520000;501000
46818;520000;501000
46817;520000;501000
46816;520000;501000
46815;520000;501000
46814;520000;501000
46813;520000;501000
46812;520000;501000
46811;520000;501000
46810;520000;500000
46809;520000;500000
46808;520000;500000
46807;520000;500000
46806;520000;500000
46805;520000;500000
46804;520000;500000
46803;520000;500000
46802;520000;500000
46801;520000;500000
46800;520000;500000
46799;520000;500000
46798;520000;500000
46797;520000;500000
46796;521000;500000
46795;521000;500000
46794;521000;500000
46793;521000;500000
46792;521000;500000
46791;521000;500000
46790;521000;500000
46789;521000;500000
46788;521000;500000
46787;521000;500000
46786;521000;500000
46785;521000;500000
46784;521000;500000
46783;521000;500000
46782;521000;500000
46781;521000;500000
46780;521000;501000
46779;521000;501000
46778;521000;501000
46777;521000;501000
46776;521000;501000
46775;521000;501000
46774;521000;501000
46773;521000;501000
46772;521000;501000
46771;521000;501000
46770;521000;501000
46769;521000;501000
46768;521000;501000
46767;521000;501000
46766;521000;501000
46765;521000;501000
46764;521000;501000
46763;521000;501000
46762;522000;501000
46761;522000;501000
46760;522000;501000
46759;522000;501000
46758;522000;501000
46757;522000;501000
46756;522000;500000
46755;522000;500000
46754;522000;500000
46753;522000;500000
46752;522000;500000
46751;522000;500000
46750;522000;500000
46749;522000;500000
46748;522000;500000
46747;522000;500000
46746;522000;500000
46745;522000;499000
46744;522000;499000
46743;522000;499000
46742;522000;499000
46741;522000;499000
46740;522000;499000
46739;522000;499000
46738;522000;499000
46737;522000;499000
46736;522000;499000
46735;522000;499000
46734;522000;499000
46733;522000;499000
46732;522000;499000
46731;522000;499000
46730;522000;499000
46729;522000;499000
46728;522000;499000
46727;522000;499000
46726;522000;498000
46725;522000;498000
46724;522000;498000
46723;522000;498000
46722;522000;498000
46721;522000;498000
46720;522000;498000
46719;522000;498000
46718;522000;498000
46717;522000;498000
46716;522000;498000
46715;522000;498000
46714;522000;498000
46713;522000;498000
46712;522000;498000
46711;523000;498000
46710;523000;498000
46709;523000;498000
46708;523000;498000
46707;523000;498000
46706;523000;498000
46705;523000;498000
46704;523000;498000
46703;523000;498000
46702;523000;498000
46701;523000;498000
46700;523000;498000
46699;523000;498000
46698;523000;498000
46697;523000;498000
46696;523000;498000
46695;523000;498000
46694;523000;498000
46693;523000;498000
46692;523000;498000
46691;523000;498000
46690;523000;498000
46689;523000;498000
46688;523000;498000
46687;523000;498000
46686;523000;498000
46685;523000;498000
46684;523000;498000
46683;523000;498000
