naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Abisynia;Abisynia;52??07'01'';22??29'53'';478092.41;739410.67;Polska;mazowieckie;siedlecki;Zbuczyn-gmina wiejska
Abisynia;Abisynia;52??03'36'';22??31'35'';471848.77;741655.00;Polska;mazowieckie;siedlecki;Zbuczyn-gmina wiejska
Abramy;Abramy;52??15'15'';21??47'59'';491258.67;691036.24;Polska;mazowieckie;mi?‰ski;Ka?Èuszyn-obszar wiejski
Adamczycha;Adamczycha;53??06'25'';21??15'46'';584793.25;651423.93;Polska;mazowieckie;ostro?È?÷cki;Baranowo-gmina wiejska
Adamin??w;;51??34'36'';21??07'59'';414395.98;647760.58;Polska;mazowieckie;radomski;Jedli?‰sk-gmina wiejska
Adamka;Adamka;53??08'54'';21??39'10'';590278.16;677346.91;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Adamowa G??ra;;52??15'48'';20??12'33'';489278.22;582495.70;Polska;mazowieckie;sochaczewski;M?Èodzieszyn-gmina wiejska
Adamowice;;51??56'28'';20??28'51'';453796.93;601760.10;Polska;mazowieckie;??yrardowski;Mszczon??w-obszar wiejski
Adamowizna;Adamowizna;52??04'21'';20??38'11'';468633.57;612120.05;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowizna A;Adamowizna A;52??04'12'';20??38'18'';468349.06;612259.53;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowizna B;Adamowizna B;52??04'29'';20??38'29'';468878.91;612456.55;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowo;;52??50'34'';19??29'12'';553134.86;532768.95;Polska;mazowieckie;sierpecki;Mochowo-gmina wiejska
Adamowo;;52??54'45'';19??53'34'';561150.50;560017.03;Polska;mazowieckie;??uromi?‰ski;Bie??u?‰-obszar wiejski
Adamowo;Adamowo;52??54'52'';20??10'39'';561634.69;579157.37;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Adamowo;Adamowo;52??54'49'';21??16'30'';563325.71;652926.04;Polska;mazowieckie;makowski;Czerwonka-gmina wiejska
Adamowo;Adamowo;52??39'47'';20??41'60'';534382.08;614931.97;Polska;mazowieckie;p?Èo?‰ski;Nowe Miasto-gmina wiejska
Adamowo;Adamowo;52??34'08'';20??36'27'';523772.69;608908.60;Polska;mazowieckie;p?Èo?‰ski;Joniec-gmina wiejska
Adamowo;Adamowo;52??34'23'';20??53'23'';524721.28;628022.87;Polska;mazowieckie;nowodworski;Nasielsk-obszar wiejski
Adamowo;;52??44'03'';21??29'40'';543863.44;668364.77;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
Adam??w;Adam??w;52??20'27'';19??38'40'';497402.80;543891.27;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Adam??w;Adam??w;52??08'48'';20??38'06'';476889.63;611833.88;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adam??w;;52??19'03'';21??48'17'';498315.88;691103.92;Polska;mazowieckie;w?÷growski;Wierzbno-gmina wiejska
Adam??w;Adam??w;52??16'49'';21??42'15'';493931.28;684409.07;Polska;mazowieckie;mi?‰ski;Dobre-gmina wiejska
Adam??w;Adam??w;51??40'10'';20??54'39'';424291.68;632105.74;Polska;mazowieckie;bia?Èobrzeski;Promna-gmina wiejska
Adam??w;Adam??w;51??43'21'';21??18'04'';430960.26;658888.87;Polska;mazowieckie;kozienicki;Grab??w nad Pilic?˘-gmina wiejska
Adam??w;Adam??w;51??37'08'';21??22'18'';419609.98;664140.69;Polska;mazowieckie;kozienicki;G?Èowacz??w-gmina wiejska
Adam??w;Adam??w;51??30'14'';20??44'55'';405606.51;621325.22;Polska;mazowieckie;przysuski;Potwor??w-gmina wiejska
Adam??w;Adam??w;51??22'45'';21??23'05'';392980.96;665907.11;Polska;mazowieckie;radomski;G??zd-gmina wiejska
Adam??w;;51??19'24'';21??02'31'';386054.40;642235.00;Polska;mazowieckie;radomski;Kowala-gmina wiejska
Adam??w;Adam??w;51??01'44'';21??26'35'';354180.31;671259.53;Polska;mazowieckie;lipski;Sienno-gmina wiejska
Adam??w-Parcel;Adam??w-Parcel;52??00'57'';20??34'36'';462242.85;608165.06;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Adam??w-Wie?ç;Adam??w-Wie?ç;52??01'51'';20??35'38'';463936.31;609309.92;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Adam??w Drwalewski;Adam??w Drwalewski;51??55'22'';21??02'11'';452696.04;639981.38;Polska;mazowieckie;gr??jecki;Chyn??w-gmina wiejska
Adam??w G??rny;Adam??w G??rny;52??20'33'';19??38'10'';497580.91;543314.92;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Adam??w Rososki;Adam??w Rososki;51??55'03'';21??08'21'';452310.59;647068.42;Polska;mazowieckie;gr??jecki;Chyn??w-gmina wiejska
Adam??wek;Adam??wek;52??21'59'';20??43'33'';501446.21;617475.91;Polska;mazowieckie;nowodworski;Czosn??w-gmina wiejska
Adam??wek;;51??56'48'';20??32'15'';454495.37;605640.85;Polska;mazowieckie;??yrardowski;Mszczon??w-obszar wiejski
Kolonia Adam??wek;Adam??wek;52??21'36'';20??43'33'';500735.27;617479.15;Polska;mazowieckie;nowodworski;Czosn??w-gmina wiejska
Adam??wka;Adam??wka;52??12'26'';21??28'02'';485224.17;668533.77;Polska;mazowieckie;mi?‰ski;D?÷be Wielkie-gmina wiejska
Adam??wka;Adam??wka;52??07'45'';21??21'34'';476281.29;661451.92;Polska;mazowieckie;otwocki;Wi?˘zowna-gmina wiejska
Adampol;;52??30'59'';21??35'26'';519881.97;675721.21;Polska;mazowieckie;wo?Èomi?‰ski;Jad??w-gmina wiejska
Adampol;;52??23'41'';21??43'24'';506688.39;685236.11;Polska;mazowieckie;w?÷growski;Korytnica-gmina wiejska
Adelin;;52??29'44'';21??26'38'';517218.87;665852.64;Polska;mazowieckie;wyszkowski;Zabrodzie-gmina wiejska
Adelin;Adelin;52??21'23'';21??06'33'';501030.26;643591.45;Polska;mazowieckie;wo?Èomi?‰ski;Marki-gmina miejska
Adelin;Adelin;51??48'31'';20??40'28'';439347.06;615403.30;Polska;mazowieckie;gr??jecki;B?È?÷d??w-gmina wiejska
Adient??wka;Adient??wka;52??09'49'';21??36'46'';480704.37;678643.94;Polska;mazowieckie;mi?‰ski;Mi?‰sk Mazowiecki-gmina wiejska
Adolfin;;51??26'57'';21??23'19'';400770.76;665923.92;Polska;mazowieckie;radomski;Pionki-gmina wiejska
Adolfowo;Adolfowo;52??55'41'';20??04'18'';563037.56;572012.14;Polska;mazowieckie;m?Èawski;Radzan??w-gmina wiejska
Adolf??w;;52??39'07'';22??16'53'';536856.01;721883.44;Polska;mazowieckie;soko?Èowski;Ceran??w-gmina wiejska
Agnieszkowo;;52??55'38'';19??31'04'';562540.14;534796.09;Polska;mazowieckie;sierpecki;Szczutowo-gmina wiejska
Agnieszkowo;Agnieszkowo;52??55'53'';20??02'14'';563381.93;569697.60;Polska;mazowieckie;m?Èawski;Radzan??w-gmina wiejska
Agnieszkowo-Krzy????wki;Agnieszkowo-Krzy????wki;52??55'00'';19??32'44'';561380.12;536671.73;Polska;mazowieckie;sierpecki;Szczutowo-gmina wiejska
Osiedle Akademickie;Akademickie;51??25'17'';21??09'39'';397204.48;650185.71;Polska;mazowieckie;m. Radom;Radom-gmina miejska
Albania;Albania;52??42'53'';21??17'29'';541245.88;654730.21;Polska;mazowieckie;pu?Ètuski;Obryte-gmina wiejska
Albin??w;;52??36'32'';22??07'31'';531606.82;711539.43;Polska;mazowieckie;soko?Èowski;Kos??w Lacki-obszar wiejski
Albin??w;;52??10'35'';21??56'09'';482984.70;700671.47;Polska;mazowieckie;siedlecki;Kotu?‰-gmina wiejska
Aleksandria;Aleksandria;52??36'32'';20??37'21'';528263.24;609831.06;Polska;mazowieckie;p?Èo?‰ski;Nowe Miasto-gmina wiejska
Aleksandria;;52??00'14'';20??25'30'';460699.99;597786.76;Polska;mazowieckie;??yrardowski;Puszcza Maria?‰ska-gmina wiejska
Aleksandrowo;Aleksandrowo;52??55'36'';20??19'21'';563159.97;588866.28;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Aleksandrowo;Aleksandrowo;52??51'12'';20??17'54'';554987.15;587398.35;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Aleksandrowo;Aleksandrowo;52??37'40'';19??54'24'';529513.74;561351.76;Polska;mazowieckie;p?Èocki;Staro??reby-gmina wiejska
Aleksandrowo;;52??44'27'';21??24'42'';544407.96;662759.81;Polska;mazowieckie;wyszkowski;Rz?˘?çnik-gmina wiejska
Aleksandrowo;Aleksandrowo;52??32'14'';20??48'06'';520570.05;622158.36;Polska;mazowieckie;nowodworski;Nasielsk-obszar wiejski
Aleksandrowo;Aleksandrowo;53??13'20'';20??52'17'';596840.86;624900.22;Polska;mazowieckie;przasnyski;Chorzele-obszar wiejski
Aleksandrowo;Aleksandrowo;53??09'24'';21??25'29'';590678.46;662079.30;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Aleksandrowo;Aleksandrowo;53??03'08'';21??54'02'';580239.69;694346.92;Polska;mazowieckie;ostro?È?÷cki;Troszyn-gmina wiejska
Aleksandr??w;;52??24'59'';21??08'53'';507778.79;646040.49;Polska;mazowieckie;wo?Èomi?‰ski;Radzymin-miasto
Aleksandr??w;Aleksandr??w;52??24'15'';21??02'54'';506223.11;639299.91;Polska;mazowieckie;legionowski;Niepor?÷t-gmina wiejska
Aleksandr??w;Aleksandr??w;52??19'35'';19??49'47'';495927.93;556533.25;Polska;mazowieckie;gostyni?‰ski;Sanniki-obszar wiejski
Aleksandr??w;;52??18'18'';19??57'04'';493648.67;564829.41;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
Aleksandr??w;Aleksandr??w;52??20'19'';20??37'51'';498199.89;611072.57;Polska;mazowieckie;nowodworski;Czosn??w-gmina wiejska
Aleksandr??w;;52??15'24'';20??07'38'';488446.80;576916.74;Polska;mazowieckie;sochaczewski;Rybno-gmina wiejska
Aleksandr??w;;52??08'25'';20??19'16'';475729.24;590382.52;Polska;mazowieckie;??yrardowski;Wiskitki-gmina wiejska
Aleksandr??w;Aleksandr??w;52??12'52'';21??43'26'';486652.74;686035.68;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Aleksandr??w;Aleksandr??w;51??57'55'';20??56'58'';457255.42;633885.07;Polska;mazowieckie;piaseczy?‰ski;Pra??m??w-gmina wiejska
Aleksandr??w;Aleksandr??w;51??55'32'';20??43'08'';452413.98;618165.12;Polska;mazowieckie;gr??jecki;Pniewy-gmina wiejska
Aleksandr??w;Aleksandr??w;51??56'35'';21??10'44'';455233.68;649721.42;Polska;mazowieckie;piaseczy?‰ski;G??ra Kalwaria-obszar wiejski
Aleksandr??w;Aleksandr??w;51??48'56'';21??32'43'';441864.83;675393.44;Polska;mazowieckie;garwoli?‰ski;?¸askarzew-gmina wiejska
Aleksandr??w;Aleksandr??w;51??46'01'';21??19'37'';435948.41;660513.65;Polska;mazowieckie;kozienicki;Magnuszew-gmina wiejska
Aleksandr??w;Aleksandr??w;51??50'10'';21??40'30'';444482.16;684244.72;Polska;mazowieckie;garwoli?‰ski;G??rzno-gmina wiejska
Aleksandr??w;Aleksandr??w;51??35'21'';20??47'24'';415135.07;623961.06;Polska;mazowieckie;bia?Èobrzeski;Wy?çmierzyce-obszar wiejski
Aleksandr??w;;51??25'15'';21??20'42'';397512.46;663000.58;Polska;mazowieckie;radomski;Jedlnia-Letnisko-gmina wiejska
Aleksandr??w;Aleksandr??w;51??09'59'';21??31'17'';369648.42;676226.28;Polska;mazowieckie;lipski;Sienno-gmina wiejska
Aleksandr??w;Aleksandr??w;51??06'55'';21??22'01'';363622.02;665624.15;Polska;mazowieckie;lipski;Rzeczni??w-gmina wiejska
Aleksandr??w;;51??12'48'';20??45'20'';373310.08;622579.95;Polska;mazowieckie;szyd?Èowiecki;Chlewiska-gmina wiejska
Aleksandr??w Du??y;Aleksandr??w Du??y;51??04'55'';21??35'07'';360416.55;681011.36;Polska;mazowieckie;lipski;Sienno-gmina wiejska
Aleksandr??w Pierwszy;Aleksandr??w Pierwszy;52??10'22'';21??13'43'';480861.41;652350.42;Polska;mazowieckie;m. St. Warszawa;Wawer-dzielnica
Aleksandr??w Po?Èudniowy;Aleksandr??w Po?Èudniowy;52??12'44'';21??43'40'';486401.19;686311.26;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Aleksandr??w P???Ènocny;Aleksandr??w P???Ènocny;52??12'56'';21??44'03'';486793.56;686733.43;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Aleksandr??wka;Aleksandr??wka;52??52'48'';20??37'57'';558410.98;609824.20;Polska;mazowieckie;ciechanowski;Ciechan??w-gmina miejska
Aleksandr??wka;Aleksandr??wka;52??27'40'';20??43'59'';512002.66;617717.20;Polska;mazowieckie;nowodworski;Pomiech??wek-gmina wiejska
Aleksandr??wka;Aleksandr??wka;52??12'17'';21??25'03'';484814.36;665138.65;Polska;mazowieckie;mi?‰ski;D?÷be Wielkie-gmina wiejska
Aleksandr??wka;;52??13'53'';22??03'55'';489464.31;709260.21;Polska;mazowieckie;w?÷growski;Gr?÷bk??w-gmina wiejska
Aleksandr??wka;Aleksandr??wka;51??50'58'';20??45'11'';444007.44;620715.66;Polska;mazowieckie;gr??jecki;Belsk Du??y-gmina wiejska
Aleksandr??wka;Aleksandr??wka;51??34'15'';21??32'37'';414646.65;676228.72;Polska;mazowieckie;kozienicki;Kozienice-obszar wiejski
Aleksandr??wka;;51??24'56'';21??37'37'';397601.77;682611.20;Polska;mazowieckie;zwole?‰ski;Policzna-gmina wiejska
Aleksandryn??w;Aleksandryn??w;52??30'09'';19??22'40'';515244.80;525628.00;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Aleksewo;Aleksewo;52??35'56'';20??00'11'';526372.14;567923.88;Polska;mazowieckie;p?Èocki;Bulkowo-gmina wiejska
Alfonsowo;Alfonsowo;51??47'00'';20??58'09'';437061.69;635783.68;Polska;mazowieckie;gr??jecki;Jasieniec-gmina wiejska
Alfons??w;Alfons??w;52??24'01'';19??52'38'';504179.29;559664.67;Polska;mazowieckie;p?Èocki;S?Èubice-gmina wiejska
Alojz??w;;51??13'15'';21??15'18'';375095.42;657424.15;Polska;mazowieckie;radomski;I?È??a-obszar wiejski
Altanka;;52??15'09'';20??13'03'';488083.20;583084.46;Polska;mazowieckie;sochaczewski;Sochaczew-gmina wiejska
Amelin;Amelin;53??03'53'';21??14'17'';580042.32;649909.78;Polska;mazowieckie;makowski;Krasnosielc-gmina wiejska
Anastazew;;52??31'24'';21??29'18'';520410.01;668761.86;Polska;mazowieckie;wyszkowski;Zabrodzie-gmina wiejska
Anatolin;Anatolin;52??19'31'';19??45'51'';495752.48;552063.36;Polska;mazowieckie;gostyni?‰ski;Pacyna-gmina wiejska
Andrzejewo;Andrzejewo;52??49'50'';22??12'01'';556478.75;715525.45;Polska;mazowieckie;ostrowski;Andrzejewo-gmina wiejska
Andrzejewo-Kolonie;Andrzejewo-Kolonie;52??50'26'';22??11'25'';557538.69;714790.76;Polska;mazowieckie;ostrowski;Andrzejewo-gmina wiejska
Andrzejki-Tyszki;Andrzejki-Tyszki;52??58'24'';21??56'51'';571611.19;697848.46;Polska;mazowieckie;ostro?È?÷cki;Czerwin-gmina wiejska
Andrzej??w;Andrzej??w;52??21'09'';19??39'36'';498703.55;544936.40;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Andrzej??w;;52??18'35'';20??19'07'';494566.36;589868.33;Polska;mazowieckie;sochaczewski;Broch??w-gmina wiejska
Andrzej??w;;51??17'14'';21??45'17'';383663.93;692028.17;Polska;mazowieckie;zwole?‰ski;Przy?È?÷k-gmina wiejska
Andrzej??w Duranowski;;52??11'58'';20??14'58'';482227.57;585356.52;Polska;mazowieckie;sochaczewski;Sochaczew-gmina wiejska
Andrzej??wka;Andrzej??wka;51??58'42'';21??38'09'';460193.93;680960.99;Polska;mazowieckie;garwoli?‰ski;Parys??w-gmina wiejska
Andrzej??wka;;51??24'42'';21??36'09'';397108.86;680927.57;Polska;mazowieckie;zwole?‰ski;Policzna-gmina wiejska
Andzin;Andzin;52??35'10'';20??40'43'';525804.77;613688.14;Polska;mazowieckie;nowodworski;Nasielsk-obszar wiejski
Anielew;Anielew;52??17'26'';19??38'18'';491812.62;543520.30;Polska;mazowieckie;gostyni?‰ski;Pacyna-gmina wiejska
Anielew;Anielew;52??10'07'';21??39'33'';481404.63;681786.01;Polska;mazowieckie;mi?‰ski;Mi?‰sk Mazowiecki-gmina wiejska
Anielin;Anielin;52??21'59'';19??27'43'';500149.45;531443.66;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Anielin;Anielin;52??47'09'';20??50'51'';548290.94;624555.88;Polska;mazowieckie;ciechanowski;Go?Èymin-O?çrodek-gmina wiejska
Anielin;Anielin;52??39'43'';20??40'05'';534218.51;612787.01;Polska;mazowieckie;p?Èo?‰ski;Nowe Miasto-gmina wiejska
Anielin;Anielin;52??05'07'';21??16'50'';471229.61;656213.21;Polska;mazowieckie;otwocki;Karczew-miasto
Anielin;Anielin;51??49'38'';20??50'02'';441684.90;626340.19;Polska;mazowieckie;gr??jecki;Belsk Du??y-gmina wiejska
Anielin;Anielin;51??46'55'';21??16'58'';437524.93;657413.10;Polska;mazowieckie;kozienicki;Magnuszew-gmina wiejska
Anielin;Anielin;51??27'40'';21??32'57'';402477.02;677037.73;Polska;mazowieckie;kozienicki;Garbatka-Letnisko-gmina wiejska
Anielin;;51??14'10'';21??18'52'';376915.13;661528.79;Polska;mazowieckie;radomski;Skaryszew-obszar wiejski
Anielina;Anielina;52??09'59'';21??34'39'';480950.66;676228.54;Polska;mazowieckie;mi?‰ski;Mi?‰sk Mazowiecki-gmina miejska
Anielinek;Anielinek;52??04'41'';21??25'56'';470794.36;666626.48;Polska;mazowieckie;otwocki;Ko?Èbiel-gmina wiejska
Anielinek;Anielinek;52??13'27'';21??38'02'';487489.59;679834.66;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Kolonia Anielinek;Anielinek;52??13'33'';21??38'37'';487724.51;680502.80;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Aniel??w;Aniel??w;51??46'37'';21??46'42'';438161.24;691614.66;Polska;mazowieckie;garwoli?‰ski;Sobolew-gmina wiejska
Anin;Anin;52??13'17'';21??09'29'';486119.79;647366.83;Polska;mazowieckie;m. St. Warszawa;Wawer-dzielnica
Borowie;Borowie;52??30'33'';19??25'26'';516019.98;528757.52;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Annopol;Annopol;52??24'40'';19??38'15'';505210.84;543346.08;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Annopol;Annopol;52??10'45'';21??19'16'';481762.98;658649.64;Polska;mazowieckie;otwocki;Wi?˘zowna-gmina wiejska
Annopol;Annopol;52??58'29'';20??53'25'';569372.41;626881.81;Polska;mazowieckie;przasnyski;Przasnysz-gmina wiejska
Annopol;;52??25'51'';21??42'10'';510650.23;683688.06;Polska;mazowieckie;wo?Èomi?‰ski;Strach??wka-gmina wiejska
Annopol;Annopol;51??48'60'';20??34'20'';440092.62;608343.98;Polska;mazowieckie;gr??jecki;B?È?÷d??w-gmina wiejska
Annopol;Annopol;51??51'04'';21??35'56'';445941.40;678942.40;Polska;mazowieckie;garwoli?‰ski;Garwolin-gmina wiejska
Annopol;Annopol;52??18'04'';21??01'20'';494715.54;637844.70;Polska;mazowieckie;m. St. Warszawa;Bia?Èo?È?÷ka-dzielnica
Annowo;Annowo;53??16'06'';20??48'06'';601878.40;620121.06;Polska;mazowieckie;przasnyski;Chorzele-obszar wiejski
Ann??w;Ann??w;52??25'45'';19??19'26'';507076.52;522013.71;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Ann??w;;51??24'14'';21??37'06'';396283.56;682059.04;Polska;mazowieckie;zwole?‰ski;Policzna-gmina wiejska
Antolek;;52??20'14'';21??12'33'';499102.62;650463.67;Polska;mazowieckie;wo?Èomi?‰ski;Koby?Èka-gmina miejska
Antonia;Antonia;53??27'60'';21??30'38'';625328.69;666604.62;Polska;mazowieckie;ostro?È?÷cki;?¸yse-gmina wiejska
Antonie;Antonie;53??07'02'';21??31'30'';586509.08;668931.23;Polska;mazowieckie;ostro?È?÷cki;Olszewo-Borki-gmina wiejska
Antoniew;Antoniew;52??15'15'';20??10'50'';488221.09;580559.57;Polska;mazowieckie;sochaczewski;Sochaczew-gmina wiejska
Antoniew;;52??11'45'';20??10'16'';481730.37;580020.72;Polska;mazowieckie;sochaczewski;Nowa Sucha-gmina wiejska
Antoniew;;52??02'20'';20??19'41'';464465.41;591063.40;Polska;mazowieckie;??yrardowski;Wiskitki-gmina wiejska
Antoniewo;;52??44'45'';19??39'46'';542449.20;544726.33;Polska;mazowieckie;sierpecki;Gozdowo-gmina wiejska
Antoniewo;Antoniewo;52??50'04'';21??48'14'';555779.39;688817.74;Polska;mazowieckie;ostrowski;Ostr??w Mazowiecka-gmina wiejska
Antoniewo;;52??54'09'';19??59'21'';560123.37;566511.92;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Antoniewo-G??ry;Antoniewo-G??ry;52??54'48'';19??57'31'';561300.21;564441.33;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Antonina;Antonina;52??12'35'';21??41'51'';486050.17;684240.65;Polska;mazowieckie;mi?‰ski;Jakub??w-gmina wiejska
Antonin;Antonin;51??49'19'';21??39'24'';442835.89;683025.51;Polska;mazowieckie;garwoli?‰ski;G??rzno-gmina wiejska
Antonina;Antonina;52??19'18'';21??42'40'';498522.55;684703.63;Polska;mazowieckie;mi?‰ski;Dobre-gmina wiejska
Antoninek;Antoninek;52??01'57'';21??28'59'';465823.31;670283.13;Polska;mazowieckie;otwocki;Ko?Èbiel-gmina wiejska
Antonin??w;Antonin??w;52??30'12'';19??31'45'';515397.98;535910.96;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Antonin??w;Antonin??w;52??25'19'';19??36'33'';506396.24;541418.13;Polska;mazowieckie;p?Èocki;?¸?˘ck-gmina wiejska
Antonin??w;Antonin??w;52??03'23'';20??54'24'';467294.00;630689.59;Polska;mazowieckie;piaseczy?‰ski;Piaseczno-obszar wiejski
Antoni??w;Antoni??w;51??27'28'';21??07'24'';401160.32;647470.74;Polska;mazowieckie;radomski;Jedli?‰sk-gmina wiejska
Antoni??w;Antoni??w;51??15'43'';21??13'04'';379586.11;654687.90;Polska;mazowieckie;radomski;Skaryszew-obszar wiejski
Antoni??w;Antoni??w;51??12'00'';21??24'16'';373110.57;667931.56;Polska;mazowieckie;lipski;Ciepiel??w-gmina wiejska
Antoni??w;;51??12'15'';20??42'04'';372201.67;618802.26;Polska;mazowieckie;szyd?Èowiecki;Chlewiska-gmina wiejska
Antoni??w;Antoni??w;51??25'43'';20??30'38'';396855.14;604980.95;Polska;mazowieckie;przysuski;Gielni??w-gmina wiejska
Le?çnicz??wka Antoni??w;Antoni??w;51??12'06'';21??21'07'';373180.35;664266.93;Polska;mazowieckie;radomski;I?È??a-obszar wiejski
Antoni??wka;;51??25'52'';21??16'52'';398525.63;658519.89;Polska;mazowieckie;radomski;Jedlnia-Letnisko-gmina wiejska
Antoni??wka;;51??25'39'';21??34'44'';398810.74;679224.39;Polska;mazowieckie;zwole?‰ski;Policzna-gmina wiejska
Antoni??wka ?‹wier??owska;Antoni??wka ?‹wier??owska;51??40'34'';21??29'02'';426215.92;671690.32;Polska;mazowieckie;garwoli?‰ski;Maciejowice-gmina wiejska
Antoni??wka Wilczkowska;Antoni??wka Wilczkowska;51??41'29'';21??29'44'';427940.89;672432.36;Polska;mazowieckie;garwoli?‰ski;Maciejowice-gmina wiejska
Antonowo;Antonowo;52??43'24'';21??54'59'';543728.08;696894.39;Polska;mazowieckie;ostrowski;Brok-obszar wiejski
Antonowo;Antonowo;52??43'20'';21??54'60'';543603.11;696909.77;Polska;mazowieckie;ostrowski;Brok-obszar wiejski
Anton??wka;Anton??wka;52??38'55'';22??14'58'';536387.55;719740.74;Polska;mazowieckie;soko?Èowski;Ceran??w-gmina wiejska
Anton??wka;Anton??wka;51??48'10'';21??56'58'';441504.60;703290.48;Polska;mazowieckie;garwoli?‰ski;??elech??w-obszar wiejski
Antosin;Antosin;52??47'46'';19??53'51'';548211.78;560496.09;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Antosin;;52??16'28'';20??04'55'';490376.40;573797.75;Polska;mazowieckie;sochaczewski;Rybno-gmina wiejska
Anulin;Anulin;52??24'26'';19??21'53'';504652.16;524803.06;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Anusin;Anusin;52??05'45'';21??10'08'';472190.52;648525.08;Polska;mazowieckie;piaseczy?‰ski;Konstancin-Jeziorna-obszar wiejski
Anusin;Anusin;51??12'18'';21??36'19'';374149.78;681929.05;Polska;mazowieckie;lipski;Ciepiel??w-gmina wiejska
Anusinek;Anusinek;52??22'59'';21??01'10'';503809.56;637402.95;Polska;mazowieckie;legionowski;Niepor?÷t-gmina wiejska
Arcelin;Arcelin;52??39'18'';20??18'53'';532953.34;588904.44;Polska;mazowieckie;p?Èo?‰ski;P?Èo?‰sk-gmina wiejska
Archutowo;Archutowo;52??30'36'';20??05'55'';516584.91;574527.21;Polska;mazowieckie;p?Èocki;Bodzan??w-gmina wiejska
Archut??wko;Archut??wko;52??29'58'';20??04'50'';515393.14;573329.22;Polska;mazowieckie;p?Èocki;Bodzan??w-gmina wiejska
Arciech??w;;52??29'49'';21??04'59'';516605.54;641363.53;Polska;mazowieckie;wo?Èomi?‰ski;Radzymin-obszar wiejski
Arciech??w;;52??22'16'';20??06'02'';501143.93;574903.72;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
Arciech??wek;;52??21'31'';20??05'41'';499748.02;574527.75;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
Artych;Artych;52??13'24'';22??43'58'';490704.70;754867.80;Polska;mazowieckie;?Èosicki;?¸osice-miasto
Aryn??w;Aryn??w;52??12'19'';21??32'07'';485162.66;673190.95;Polska;mazowieckie;mi?‰ski;Mi?‰sk Mazowiecki-gmina wiejska
Atalin;;51??21'36'';21??36'57'';391399.00;682059.38;Polska;mazowieckie;zwole?‰ski;Zwole?‰-obszar wiejski
Augustowo;Augustowo;52??54'21'';20??19'17'';560850.93;588852.14;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Augustowo;;52??43'57'';21??34'47'';543881.09;674126.29;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
August??w;August??w;52??56'17'';20??57'16'';565415.95;631304.40;Polska;mazowieckie;przasnyski;Krasne-gmina wiejska
August??w;August??w;52??20'11'';21??04'56'';498765.30;641826.81;Polska;mazowieckie;m. St. Warszawa;Bia?Èo?È?÷ka-dzielnica
August??w;August??w;51??41'16'';21??10'28'';426832.02;650259.65;Polska;mazowieckie;kozienicki;Grab??w nad Pilic?˘-gmina wiejska
August??w;;51??31'19'';21??28'21'';409045.18;671472.60;Polska;mazowieckie;radomski;Pionki-gmina wiejska
