naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Osiedle Ludwika Kondratowicza;Ludwika Kondratowicza;52??17'46'';21??02'15'';494178.23;638899.52;Polska;mazowieckie;m. St. Warszawa;Targ??wek-dzielnica
Koneckie;Koneckie;52??46'49'';21??33'10'';549127.89;672119.39;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
Koniczek;;51??23'11'';20??35'51'';392296.33;611125.80;Polska;mazowieckie;przysuski;Przysucha-obszar wiejski
Konie;Konie;51??54'45'';20??42'43'';450960.53;617712.94;Polska;mazowieckie;gr??jecki;Pniewy-gmina wiejska
Koniecp??l;Koniecp??l;52??02'08'';20??42'25'';464640.06;617048.60;Polska;mazowieckie;grodziski;??abia Wola-gmina wiejska
Koni??wka;Koni??wka;51??25'23'';21??09'01'';397355.16;649455.23;Polska;mazowieckie;m. Radom;Radom-gmina miejska
Konopaty;Konopaty;53??07'48'';19??46'28'';585245.47;551801.02;Polska;mazowieckie;??uromi?‰ski;Lubowidz-gmina wiejska
Konopiska;Konopiska;51??05'06'';21??46'34'';361239.66;694373.44;Polska;mazowieckie;lipski;Solec nad Wis?È?˘-gmina wiejska
Konopki;Konopki;52??59'52'';20??27'47'';571261.97;598158.84;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Konopki-Piaski;Konopki-Piaski;52??58'50'';20??28'02'';569337.41;598481.65;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Konotopa;Konotopa;52??54'58'';20??18'54'';561981.72;588396.93;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Konotopa;;52??11'47'';20??49'05'';482703.37;624221.14;Polska;mazowieckie;warszawski zachodni;O??ar??w Mazowiecki-obszar wiejski
Konradowo;Konradowo;52??44'20'';20??26'11'';542432.49;596937.69;Polska;mazowieckie;ciechanowski;Glinojeck-obszar wiejski
Konstancin;Konstancin;52??04'47'';21??07'26'';470290.10;645489.96;Polska;mazowieckie;piaseczy?‰ski;Konstancin-Jeziorna-miasto
